Accession	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12
MIMAT0015020	0.4860165	0.1821103	0.7689106	1.583405	0.8004659	0.3800043	0.5894824	0.2074575	0.5712372	0.1882344	0.4568737	0.6905944
MIMAT0015021	2.263013	0.7580267	2.40917	1.328782	1.990881	1.105402	0.9107304	0.2344169	0.8244489	0.8624978	1.136126	1.765621
MIMAT0015022	-0.03744149	0.6023201	0.6106337	0.0576925	0.993269	0.3995846	0.7068523	0.03650904	0.5322172	0.4203628	0.8728755	0.5333284
MIMAT0019206	0.03679061	0.3620484	-0.1245229	0.657032	0.6932593	0.3998431	0.4108914	0.4789991	0.4932916	0.3523548	0.620994	0.4524626
MIMAT0015023	0.3549447	0.3091819	0.1861461	0.3732843	0.9855955	0.2075927	0.2313143	0.4158608	0.2640392	0.3305015	0.7221232	0.7934207
MIMAT0015024	0.5253004	0.7637215	1.352994	0.7975805	1.289943	0.5369846	1.055236	0.4979187	0.9635453	0.3971552	0.7148365	0.8099449
MIMAT0027026	0.772934	0.5176039	0.07309413	1.921592	0.7431224	0.4903421	0.8183249	0.7715867	1.025988	0.7700924	0.5642784	0.5972657
MIMAT0019207	0.4368057	0.5898253	0.4838199	0.850838	1.193552	0.1943282	0.7149515	0.1143072	0.6290168	0.5859556	0.05390453	0.7006899
MIMAT0015025	0.1065367	0.6025786	1.308795	0.9685302	0.8806643	0.2034866	0.5314695	0.2691274	0.440909	0.479739	1.730056	1.039739
MIMAT0015026	1.173745	0.6025786	0.8887821	1.54449	0.475851	0.634261	1.241303	0.5925897	1.964859	0.7876627	0.5765668	0.676511
MIMAT0019208	0.3204076	0.6744345	0.4363909	0.8141143	0.7199019	0.714494	0.632273	0.3099551	0.2523306	-0.08614051	0.5318057	0.783253
MIMAT0015027	0.4883285	0.3160652	0.8504643	0.8344198	0.9242278	0.2306331	0.5197177	0.0762254	0.5056959	0.6134707	0.7476147	1.174514
MIMAT0015028	0.7100735	0.2728508	0.7247626	0.9014297	1.051045	0.4021428	0.9622439	0.3103371	0.7682472	0.598709	0.8140272	0.2036475
MIMAT0015029	0.1028878	0.2948964	0.7204884	0.7617566	0.765255	0.5170521	0.3485233	0.4303792	0.08553368	0.7159179	0.3753839	0.6773443
MIMAT0015030	0.7336849	0.415184	0.5631692	1.152447	0.6665559	0.8998867	0.4969401	0.3211711	0.4698804	0.6461464	0.3553534	0.7884989
MIMAT0019209	0.5357006	0.3000481	0.5180396	2.01705	0.648046	0.8146935	0.9622439	0.4958375	0.5158889	0.2867404	0.1524622	0.4544227
MIMAT0015031	0.4056102	0.4833025	0.4526243	0.09312689	0.9806479	0.2898292	0.9177932	0.3176613	0.554888	0.15665	0.8122637	0.7355749
MIMAT0019210	0.6737216	1.271376	0.9132508	2.041613	1.753916	0.4126944	1.818694	1.013208	1.15234	0.8572845	0.8140272	0.9448819
MIMAT0019211	0.4594136	0.700003	0.3498426	0.3425059	0.3826945	0.4972675	0.6246412	0.03528842	0.4962352	0.8106786	0.1524622	0.466658
MIMAT0015032	0.3700016	0.3130687	0.3214269	1.118728	0.9110281	0.4161393	0.6967169	0.2684157	0.2320356	0.9140112	0.3051738	0.6863294
MIMAT0015033	0.5555023	0.5624537	0.3695632	1.327116	0.680002	0.5620725	0.7725394	0.4375752	0.5407439	0.5265205	0.5757807	0.4994971
MIMAT0019212	0.2369781	0.5732432	-0.001563519	0.4461046	0.8765117	0.3998431	0.4614652	0.2819099	0.4164079	0.3071415	0.1945318	0.6057112
MIMAT0015034	0.6424299	0.1165842	1.014457	1.421763	0.7369078	0.6918359	0.4988357	0.466753	0.3812909	0.5804868	0.902889	1.056109
MIMAT0015035	0.7665927	0.3487657	0.7139761	0.6979316	0.9344208	0.330854	0.602442	0.0938291	0.6625103	0.6153396	0.5757808	0.601044
MIMAT0015036	0.2997305	0.2977516	0.3474363	0.8868209	0.648046	0.6557059	0.6813998	0.269055	0.7771192	0.2784682	0.4136925	0.768621
MIMAT0019213	1.163478	1.851352	1.722512	2.428626	2.10567	1.394164	2.193059	1.273945	1.442857	1.676404	1.708163	2.015323
MIMAT0015037	0.8485619	0.6187656	2.334064	1.399305	1.185888	0.5936326	0.9511806	0.9375387	0.6986018	0.943658	1.85032	1.486759
MIMAT0015038	0.4709194	0.2422084	0.5424953	0.5935759	0.8916976	0.3278432	1.091465	0.5017942	0.7919695	0.7649593	0.2263775	0.6905944
MIMAT0015039	0.9791077	0.569852	1.148244	0.9151994	0.6764244	0.5685667	0.7462258	0.1413524	0.4501946	0.5326037	0.5757807	1.194324
MIMAT0015040	0.4699308	0.3164333	0.5091505	0.886821	0.9347889	1.006874	0.930517	0.4425491	0.5158889	0.5669822	0.3983579	1.183224
MIMAT0015041	0.3703613	0.7022201	1.213938	2.189035	0.9808858	0.9671008	1.219616	0.7253405	0.893593	1.312608	0.8007971	0.9383057
MIMAT0015042	0.6199713	0.6025785	0.6091778	1.009087	0.964364	0.4663415	0.7943243	0.2074575	0.5158889	0.7460917	-0.00399065	0.4843659
MIMAT0015043	0.3545069	0.3096876	0.4382691	0.9011484	0.9487482	0.6485885	0.6997134	0.3925007	0.5302164	0.6558905	0.3207793	0.5915509
MIMAT0015044	0.07962441	0.6025786	0.9369618	-0.1545107	0.1396819	0.6103045	0.4646933	0.03650904	0.5158889	0.4164607	0.2405093	0.4544227
MIMAT0015045	0.1145395	0.3160652	0.3376072	0.4728864	0.6499774	0.1163053	0.5102365	0.03650898	0.2826975	-0.196457	0.3553534	0.6440465
MIMAT0015046	0.8112604	0.3970349	0.7427319	1.480483	0.4848974	0.7419373	0.8549494	0.2293521	0.4085945	0.732263	0.8140272	0.1706985
MIMAT0019214	0.3356318	0.2688707	0.3034503	2.050547	1.154538	0.6137732	0.6779043	0.238813	0.8680001	0.5987089	0.5769497	0.9255855
MIMAT0015048	0.5688518	0.4443266	1.049724	0.6533981	0.7949044	0.331091	1.408478	0.1870325	0.5227266	0.6106153	0.6635038	1.221788
MIMAT0015049	1.077987	0.6883667	0.2174391	0.4778432	0.4261071	0.07234275	0.3814249	0.07421225	0.06001121	0.08504555	0.1958748	1.03067
MIMAT0001630	0.4518244	0.3160652	0.4710641	1.048052	0.648046	0.4961473	0.6170521	0.03650904	0.7905877	0.5327659	0.3576624	0.4694397
MIMAT0015050	1.006233	0.4335701	1.246262	0.9186447	1.237445	0.5173481	0.5879927	0.379905	0.5487617	0.8990157	0.5757807	0.8080993
MIMAT0015051	0.5138695	0.66	0.6737425	0.6769565	0.9128714	0.4075091	0.678164	0.3709513	0.2894569	0.4541858	0.2995065	0.7157589
MIMAT0015052	-0.01350683	0.3797809	0.6813053	0.5245961	0.6604472	0.1966339	0.6581439	0.3821294	0.2444368	0.05403417	0.2971735	0.4668239
MIMAT0015053	0.2973637	1.040957	0.7258685	0.3916369	0.5780603	0.710284	0.7486323	0.4789353	0.2737482	0.4020569	0.8920641	0.7678849
MIMAT0019215	0.5918958	0.5099285	0.5140007	0.2547471	0.648046	0.56531	0.8670667	0.543817	0.4258989	0.2494913	0.4648095	0.430701
MIMAT0015054	0.2707353	0.3239345	0.5893201	0.5955541	0.6760261	0.4278232	0.942386	0.1138567	0.8736956	0.3071415	1.049203	1.457681
MIMAT0015055	2.715645	0.6956369	1.426176	1.779943	2.069548	0.3964701	1.086829	0.4321865	0.6723084	1.028389	1.94456	2.067873
MIMAT0015056	0.6601708	0.6025786	0.6415383	1.065841	0.8203853	0.363253	0.8720527	0.5632337	0.9967883	0.369008	0.7846712	0.7229548
MIMAT0015057	1.314971	0.7850157	0.6995683	1.227383	0.8704282	0.5360957	0.8982513	0.6808138	0.6021811	0.598709	0.6305461	0.7149216
MIMAT0015058	1.82722	0.3917357	0.509921	1.013227	1.744467	0.1890003	0.6004565	0.3247234	0.8274823	0.3101748	0.3649379	0.2435798
MIMAT0015060	0.5789434	0.6382551	0.5928134	0.6377149	0.6271425	0.593233	0.5875059	0.5772485	0.4764837	0.557681	0.2648432	1.057263
MIMAT0015061	0.7726688	0.482631	0.790036	1.778021	0.8146118	0.3507984	0.8565324	0.2074575	0.5488248	-0.06407857	0.4692514	0.8432919
MIMAT0015062	0.2905931	0.6141053	0.2156589	1.138308	0.9344208	0.2696531	0.650479	0.2928779	0.317456	0.04614514	0.4392305	0.3178724
MIMAT0015063	0.3155037	0.3321501	0.6091778	0.9748206	0.8887512	0.2272599	0.5552408	0.2074575	0.4727408	0.3071415	0.5333296	0.7783491
MIMAT0015064	0.5979944	0.6025786	0.1862044	0.9095822	0.9554473	0.7072445	0.7224746	0.5148588	0.5394369	0.598709	0.6627547	0.8397257
MIMAT0022731	1.0045	0.3461563	0.521509	1.500181	0.2405586	0.5007198	1.195445	0.4218149	0.6173414	0.8263424	0.3553534	0.6905944
MIMAT0015065	3.825501	3.887715	3.425511	4.457318	1.857311	3.019156	3.978116	3.240831	2.750447	0.9553695	4.145895	3.969693
MIMAT0015066	0.8333385	0.6803561	0.1965366	0.4160612	1.000558	0.2312222	0.9152543	0.3455111	0.4688994	0.7729406	0.2142828	0.5219734
MIMAT0015378	0.5201926	0.5456648	0.3191198	0.4034417	0.8423746	0.5385379	0.5945155	0.4017861	0.2320356	0.4188584	0.8140272	0.5931175
MIMAT0015067	0.974409	0.2040098	0.7982376	0.8048883	0.520723	0.3333018	0.6569571	0.167838	0.6649581	0.3071415	0.7248499	1.145558
MIMAT0015068	0.290593	0.3561492	0.4625509	0.886821	0.709314	0.4854412	0.4558207	0.2458738	0.2339447	0.60835	0.5757807	0.4544227
MIMAT0019216	0.8375992	0.4389255	0.2007974	1.009243	1.158858	0.2482779	1.139011	0.6292542	0.6926562	1.173561	1.772341	1.618821
MIMAT0015069	1.341559	0.4089615	0.9028655	0.9797173	0.7564142	0.4668882	0.4480115	0.5925897	0.3249319	0.5864253	0.5737525	1.224166
MIMAT0015070	0.9669653	0.3160652	0.64971	1.06367	1.295764	0.5768428	1.092324	0.2133578	0.6246458	0.6608558	0.5757807	0.6905944
MIMAT0019217	0.597604	0.6472916	0.6446182	0.8003705	0.2901445	0.485978	0.9743443	0.2944658	0.8542159	0.5122585	0.6299843	0.5438487
MIMAT0015071	-0.06482464	0.5239549	1.135314	0.6406726	0.4018976	0.3705944	0.8149103	0.3135255	0.7022506	0.3186494	0.4705502	0.6663399
MIMAT0015072	1.331724	0.6173332	1.204104	1.171474	0.949314	0.6658534	1.17978	0.6937687	0.8171569	1.003954	0.8476335	1.21495
MIMAT0015073	0.4455813	0.5723876	0.904866	1.180844	0.9364213	0.4559362	0.6954218	0.3741294	0.2340361	0.8224277	0.2377697	0.2359623
MIMAT0022839	0.7420137	0.3622451	0.3968247	0.8626817	1.026077	0.07821089	0.2313144	0.3438136	0.6065768	0.3663136	0.5752257	0.5451105
MIMAT0022732	0.283719	0.2769568	0.5596234	0.8756243	0.6368493	0.4062488	0.6997134	0.1090024	0.2208389	0.03475887	0.3441567	0.4673502
MIMAT0015075	0.758675	0.6025786	0.4906997	0.3277978	1.127295	0.1396472	0.6089132	0.3115033	0.5070298	0.3071415	0.4656307	0.2368377
MIMAT0015076	0.2905931	0.3160652	0.2350614	0.1154304	0.7296985	0.3306644	0.6305347	0.1620158	0.3111667	0.709289	0.8140272	0.5913995
MIMAT0027027	0.6188166	0.1468113	0.4177437	0.886821	1.059182	0.3976906	0.8669566	0.3603268	0.5602591	0.4527688	0.4806857	0.2368377
MIMAT0015077	0.6099881	0.435013	0.3276239	-0.03556293	0.5016422	0.3998431	0.6897302	0.1554568	0.6348367	0.443154	0.4935013	0.6118079
MIMAT0015078	1.090743	0.4520742	0.7668564	0.7555131	1.092099	0.3437342	0.8529543	0.5202382	0.6735675	0.7563876	0.7302878	1.319816
MIMAT0019218	0.3545841	0.243916	0.9316767	0.311355	0.4434857	0.8824979	1.266048	0.3539315	0.1934663	0.2349923	0.5036316	0.7582265
MIMAT0015079	0.7431377	0.3160652	0.5048456	0.5171626	0.6846731	0.1517911	0.4558207	0.4213407	0.3552019	0.4303078	0.1524622	0.8578328
MIMAT0015080	6.133857	1.023444	3.331233	3.437328	4.522826	0.8147588	3.810485	1.538108	2.119595	5.101211	4.646484	4.756564
MIMAT0022733	0.6331129	0.5877814	0.7107731	0.8720238	0.9344208	0.4421686	1.048424	0.3777036	0.9602473	0.8992141	0.79923	0.7037359
MIMAT0015081	0.8653672	0.3251506	2.275721	3.063364	1.975815	1.132677	1.231431	0.633566	0.9427845	1.169687	2.894615	1.919238
MIMAT0015082	0.9673842	0.2933755	0.3341048	0.674648	0.9637739	0.6272361	0.7061021	0.3740746	0.5158889	0.6280621	0.599938	0.7327089
MIMAT0015083	0.6199713	0.3091085	0.6091778	0.8798643	1.529744	0.4156008	0.8767869	0.3845311	0.02229583	0.9140112	0.1682199	0.6905944
MIMAT0015084	-0.1198255	0.344153	0.117608	1.171005	1.4104	0.2044055	1.457929	0.05668181	1.079876	-0.1782157	0.3474812	0.4622948
MIMAT0017392	0.6484782	0.9448096	0.7165455	1.237965	0.7151575	0.5421178	0.4558206	0.332363	0.9368367	0.6940472	0.6640264	1.322318
MIMAT0015085	0.290593	0.3105629	0.08952013	1.144597	0.6425437	0.1842326	0.707536	0.2113055	0.2358836	0.3020472	0.1524622	0.6905943
MIMAT0015086	5.077132	1.789593	6.865704	2.7964	4.481843	4.591393	2.251384	3.353849	2.354841	4.873999	6.933228	5.322113
MIMAT0015087	0.5993774	0.912414	1.205162	1.152765	1.237445	1.156915	0.6997135	0.5908746	0.8038551	0.5730858	1.604799	1.328299
MIMAT0015088	0.6742503	0.4153331	0.559433	1.270228	0.4844667	0.3500983	0.6499686	0.2232748	0.5701679	0.4967551	0.4467041	0.5816225
MIMAT0015089	0.6527761	0.7514405	0.6997902	1.249004	0.7448775	0.6086892	1.021348	0.3581433	0.7247351	0.9203433	0.9080877	0.6862016
MIMAT0015090	0.6867061	0.329294	0.1636369	0.9609377	0.9476496	0.7218093	0.585456	0.06573951	0.06177145	0.6263083	0.3845839	0.6905944
MIMAT0016844	0.3400848	0.7536236	0.2722915	0.191134	0.2239042	0.4135316	0.6368854	0.221146	0.5295774	0.6123975	0.5009697	0.3856519
MIMAT0016845	0.2650121	0.3425826	0.3623927	1.561112	0.6744248	0.3007422	0.6176279	0.1513624	0.1493744	0.4822927	1.335937	0.9448819
MIMAT0016846	0.1993306	0.5372336	0.2228034	0.7955585	0.8692144	0.5502881	0.4621702	-0.03753716	0.453204	0.5379973	0.3736306	1.123688
MIMAT0016847	0.6319252	0.608884	1.040853	0.7335709	1.147677	0.634261	0.4720265	0.5699616	0.4854917	0.3208246	0.6088095	0.8380693
MIMAT0016848	0.320364	0.3750115	0.6091778	-0.3722813	0.4124654	0.4164904	0.69545	0.3748191	-0.02151346	0.03736955	0.35109	0.6775481
MIMAT0016849	0.3732985	0.4659159	0.4820724	0.9695264	0.9205831	0.3998431	0.3757795	0.1192145	0.1493301	0.5848713	0.3553534	0.6295296
MIMAT0016850	0.336212	0.5159571	0.5712114	2.018225	0.8989307	0.252876	0.8004555	0.5059682	0.8244489	0.5326262	0.4049703	0.7053073
MIMAT0016851	0.8583925	0.7287532	0.7515382	0.886821	1.347109	0.1842327	0.9622439	0.6213886	0.5845735	0.9017789	0.5757807	0.8671107
MIMAT0016852	0.7474328	0.5868908	0.7366393	2.108329	0.4286934	0.5371032	0.9887249	0.1543776	0.6433504	0.3071415	0.5757807	0.9291941
MIMAT0016853	0.111385	0.3206258	0.5109161	1.384314	0.150326	0.3702142	0.3596093	0.2877212	0.4324996	0.2775126	0.359914	0.2752146
MIMAT0016854	0.4201108	0.2542609	1.60999	1.04111	0.6329936	0.3998431	0.4612508	0.03430638	0.5230218	0.4422354	0.8692005	1.580547
MIMAT0016855	0.2905931	0.2962921	0.1072727	0.5618836	0.6094834	0.4175957	0.4735733	0.2252101	0.4524744	-0.2734716	0.07737917	0.4544227
MIMAT0016856	0.9390694	0.3740386	0.4284381	1.205919	1.056705	0.4535213	0.3698702	0.2074576	0.515889	0.1320701	0.8883214	1.495961
MIMAT0016857	0.4830144	0.4060582	0.3995022	0.6599063	0.7974638	0.3942389	0.4558882	0.3018563	0.378932	0.09235328	0.4624442	0.7962083
MIMAT0016858	0.6639832	0.08658081	0.9028655	1.246175	0.5325924	1.036862	0.8752888	0.4063836	0.3627596	0.6303492	1.027467	0.634456
MIMAT0016859	0.4331465	0.5254301	0.3537434	0.5008735	0.4835622	0.4673788	0.9090784	0.04297367	0.5350996	0.2562476	0.1898333	0.4705589
MIMAT0016860	0.290593	0.5304418	0.8174374	0.8702365	1.165308	0.4202476	0.9079729	0.415717	0.4993045	0.5035381	0.1524147	0.7558256
MIMAT0016861	0.3629932	0.796299	0.2712183	0.959221	0.6481245	0.2566327	0.4558992	0.2798576	0.4432059	0.2528033	0.5665237	0.448008
MIMAT0016862	0.6199713	0.7364874	0.4377207	1.979645	0.7931976	0.3196503	0.7528538	0.003069699	0.3674532	0.4272519	1.313098	0.5146679
MIMAT0016863	0.1841325	0.9556501	0.9461017	0.3931604	1.126976	0.6986867	0.7429496	0.6913443	0.7084442	1.160723	0.768336	0.7338306
MIMAT0016864	0.5193208	0.544793	0.6700653	1.115549	0.8296534	0.6342611	0.472401	0.3096531	0.4731222	0.292533	0.5757808	1.195782
MIMAT0016865	1.202599	0.7842083	0.5344114	0.5537761	1.465635	0.4266484	0.9622439	0.5963526	0.7197408	0.598709	1.042217	1.418802
MIMAT0016866	0.6143346	0.9518657	0.3376072	-0.2374955	0.9316024	0.1546796	0.6940767	0.3961225	0.8244489	0.598709	0.7537763	0.8037097
MIMAT0016867	0.9251608	0.9094585	0.3346518	1.012121	0.648046	0.634261	0.581121	0.2074575	0.8214936	0.7240092	0.7368656	1.211995
MIMAT0016868	0.3173537	0.9209428	0.541788	0.2464246	0.648046	0.1044839	0.5777671	0.5167338	0.1100892	0.4767627	1.028049	0.8148273
MIMAT0016869	0.4354444	0.3160652	0.3376072	1.240798	0.6633341	0.4151312	0.2627964	0.2389395	0.331362	0.539372	0.5757807	0.7058824
MIMAT0016870	0.4248613	0.6025786	0.4781944	0.886821	1.068689	0.634261	0.9503877	0.4581318	0.2320356	0.598709	0.4447973	0.559611
MIMAT0016871	0.4301178	0.09188861	0.3724666	-0.01498604	0.5222192	-0.0399439	1.093814	0.5320255	0.2917124	0.3889402	0.8140272	1.24981
MIMAT0016872	0.2898869	0.3181787	0.8039575	0.787913	0.6459326	0.2814282	0.3954203	0.2935927	0.4169809	0.304871	0.3976589	0.3087721
MIMAT0016873	2.016804	0.4527845	0.4593838	0.3499243	1.52766	0.484467	0.5092917	0.430679	-0.004065871	0.6779098	0.4138701	0.7440654
MIMAT0016874	0.7791284	-0.02225524	0.9629544	0.6696348	0.6372074	0.1114985	0.6149777	0.141517	0.577043	0.3071415	0.8308123	0.7073795
MIMAT0016875	1.341559	0.8923174	0.882769	0.3921269	0.9766234	0.8017365	1.225282	0.7881155	0.8666516	0.5786125	0.5556843	1.47045
MIMAT0016876	0.8383803	0.6025786	0.4746049	1.00492	0.7661445	0.4925284	0.9622439	0.5392683	0.3593079	0.6913943	0.439752	0.9111004
MIMAT0016877	0.6199713	0.7579764	0.7281457	0.8145143	1.350323	0.3770933	0.5452759	0.35505	0.7015348	0.4442715	0.4710032	0.8762403
MIMAT0016878	0.8918529	-0.2040176	0.1413075	0.4017116	0.654576	0.2360199	0.4558207	0.08829632	0.2461047	0.655053	0.1840425	0.9966691
MIMAT0016879	0.8808541	1.832946	1.213938	1.312222	1.753019	2.073715	1.904029	1.451025	1.287007	0.9140113	0.9647694	1.581295
MIMAT0016880	0.6199713	0.4174289	0.3376072	-0.05314702	0.6343983	0.2043767	0.4759647	0.1404338	0.2158665	0.2517583	0.256387	0.2368377
MIMAT0016881	0.290593	0.1088454	0.7931271	0.8218262	0.3826944	0.4156731	0.4716507	0.3000592	0.5697938	0.6526138	0.7215857	0.171843
MIMAT0016882	1.78834	0.3160652	0.4035209	0.3499242	0.49092	0.1941861	0.4868783	0.1221804	0.562047	0.3928128	1.069061	0.540094
MIMAT0016883	0.290593	-0.03487223	0.3369083	0.01612681	0.648046	0.3998431	0.6899744	0.4212633	-0.02577686	0.3071414	0.3553534	1.385588
MIMAT0016884	0.5339372	0.4881912	0.4698055	1.282244	0.8173598	0.4275768	0.5826525	0.208635	0.4067486	0.3071414	0.1750591	0.6977668
MIMAT0016885	0.7680124	0.7237254	0.3376072	0.7976878	1.14939	0.5451278	0.4558207	0.3033675	0.4267557	0.5106533	0.4765003	0.8557487
MIMAT0016886	0.775555	0.2408966	0.2215771	0.5679221	1.066478	0.435407	0.4263036	0.4072593	0.3413307	0.3219	0.7617368	1.229709
MIMAT0016887	0.5841624	0.2802562	0.2839451	0.3682058	0.4083031	0.2739685	0.4814294	-0.03177425	0.5334194	0.1313688	0.6919992	0.7803302
MIMAT0016888	0.573589	0.4208433	0.8088808	0.2559395	0.7176281	0.3058584	0.8217233	0.1134728	0.5158889	0.5047243	0.3553534	0.3064198
MIMAT0016889	0.0975461	0.05494064	0.5117819	0.9927898	0.648046	0.1956398	0.9122604	0.3816322	1.142992	0.8237807	0.4613222	0.6285973
MIMAT0016890	0.6801108	0.9725533	0.5490385	0.577799	0.7588075	0.5782589	0.7598528	0.454385	0.3813985	0.7043086	0.4154928	0.5910549
MIMAT0016891	0.5006177	0.09725276	-0.02983341	0.3858938	0.9601489	0.5149074	0.5434172	0.09561244	0.5580093	0.3537358	0.3553534	0.5100085
MIMAT0016892	0.03098662	0.488658	0.08952016	0.3893335	0.9344207	0.1842326	0.6312569	0.1712068	0.4796382	0.00538224	0.325055	0.03714441
MIMAT0016893	0.6373076	0.3334015	0.2705353	-0.1371744	-0.08162266	0.1115467	0.7170497	0.2074576	0.443203	0.5998296	0.1697985	0.9666789
MIMAT0016894	0.1565537	0.5623394	0.4751385	0.801314	0.604535	0.3651553	0.6121694	0.2425152	0.8022652	1.005559	0.3743027	1.321533
MIMAT0016895	0.6740563	0.7769524	0.1785256	1.489625	0.7705249	0.7233851	0.6184413	0.1991296	0.6653674	0.04163289	0.8140272	1.012399
MIMAT0017950	-0.2352762	0.248561	0.6506435	0.6517706	0.8416664	0.377853	0.7271935	0.2301294	0.425656	0.2352533	0.3460826	0.2307648
MIMAT0016896	0.1863684	0.5869002	0.887187	0.3342458	0.9187423	0.3841647	0.4261055	0.2313001	0.3634051	0.7300786	0.5501445	0.6831617
MIMAT0016897	0.5450795	0.3083597	0.3376072	0.6322817	0.5394643	0.5164132	0.8510218	0.5925897	0.486522	0.3071415	0.5757807	0.4467172
MIMAT0016898	0.350586	0.5703454	0.5411864	0.4801376	0.8664293	1.017494	0.6567498	0.1644939	0.3250549	0.4001607	0.2826755	0.7836137
MIMAT0016899	1.079157	0.4717916	0.7720785	0.04476559	0.4141853	0.634261	0.6997133	0.3110125	0.676962	0.7597821	0.6904821	1.105955
MIMAT0016900	3.519038	1.239316	0.890226	0.7656969	1.129531	0.3998432	1.157354	0.4885057	0.5120431	1.221047	0.8568289	1.624209
MIMAT0016901	0.3597718	0.9371812	0.6783566	0.9792364	0.407695	0.2637813	0.5249995	0.1521497	0.3320263	0.3071415	0.1524622	0.4544227
MIMAT0016902	0.3643847	-0.06629616	0.3376072	0.7494321	0.5106572	0.4968722	0.9987081	0.09429413	0.08933926	0.3071415	0.3157316	0.5277897
MIMAT0016903	0.5012362	0.4943281	0.7874408	-0.3075228	0.6475548	0.1842326	0.8779764	0.2471521	0.1577461	1.124654	0.5336163	1.123145
MIMAT0016904	0.4171514	0.3160652	0.3376072	1.196485	0.5734824	0.3998431	0.5105243	0.06729057	0.7066768	0.04163295	0.3865916	0.7420619
MIMAT0016905	0.06591213	0.1292754	0.4119421	0.06313591	0.458372	0.2470679	0.2941496	0.07366538	0.3484002	0.3071415	0.04040097	0.2145456
MIMAT0016906	1.41916	2.275516	1.741244	3.570911	2.125022	0.6187496	1.795135	0.8420345	1.196113	1.927725	1.556799	1.49596
MIMAT0016907	4.891151	0.05494058	0.6061091	1.340026	2.806607	0.6311923	1.611567	0.2966319	1.235071	2.47933	2.921449	2.322427
MIMAT0016908	0.601066	0.1547181	0.2921105	0.6603972	0.6025493	0.5887643	0.5489148	0.307235	0.4816794	0.6247419	0.6729538	1.001067
MIMAT0016909	-0.03912127	1.034336	0.1944227	1.368606	1.359367	0.2930931	0.4431106	0.5618911	0.09614527	0.3071414	0.9189297	0.8125165
MIMAT0016910	0.01808092	0.6122105	0.4733925	0.2831704	0.7683614	0.2518665	0.5261371	0.1568244	0.6764723	0.2574054	0.2885996	0.5426177
MIMAT0016911	0.5293675	0.4197224	0.5763817	0.9399773	0.6214689	0.5398148	0.8907077	0.2074575	0.5690453	0.5271729	0.8862048	0.2368377
MIMAT0016912	0.290593	0.4603787	0.8417181	1.042955	1.40672	0.6208785	0.9622438	0.4575123	0.2326519	0.9140112	0.4418071	1.201568
MIMAT0016913	-0.1479937	0.3950803	0.4696069	0.2103533	0.6484727	0.6106021	0.7787285	0.03693575	0.3110507	0.3071414	0.3557801	0.4544227
MIMAT0016914	0.2245729	0.8463937	0.5431576	1.618578	0.6880903	0.6409504	1.240517	0.4158676	0.8811287	0.3638212	0.638208	1.080848
MIMAT0016915	0.4483733	0.9124139	0.3376072	1.205112	1.220456	0.470268	0.5858037	0.5224837	0.3620186	0.728692	1.420904	0.679693
MIMAT0016916	0.3214401	0.4319937	0.4595432	0.4712383	0.7954019	0.169697	0.9622439	0.4233478	0.4624273	0.4490743	0.2137591	0.5757367
MIMAT0016917	0.5831259	0.8755685	0.3376072	0.2119721	0.8975754	0.6479151	1.017349	0.4029918	0.02932847	0.5493006	1.039463	0.653749
MIMAT0016918	0.9114711	0.3509666	0.2746693	0.4589499	0.4206198	0.4594098	0.6367755	-0.03537038	-0.02577689	0.4861401	0.586601	0.4973295
MIMAT0016919	0.3119645	0.5682293	0.1248453	0.8868209	1.27277	0.4351682	0.3917065	0.2427827	0.2673607	0.3390816	0.001391262	1.180601
MIMAT0016920	0.5739299	0.6422243	1.059222	0.9659891	0.9439511	0.3998431	0.9622439	0.4321465	-0.0348205	0.9140112	0.7137188	0.7096191
MIMAT0016921	0.6077133	0.2382642	1.018096	1.002052	1.536515	0.749492	0.6997134	0.5077318	0.3472666	0.4005851	0.5757807	0.4420176
MIMAT0016922	0.6299411	0.5327258	1.553286	0.725668	0.6434039	0.3335395	0.8315644	0.2254748	0.5158889	0.6464895	0.6561843	0.8567458
MIMAT0016923	0.3254642	0.6025787	0.6091779	0.8968924	0.6944756	0.6443324	0.4906918	0.4351267	0.4169718	0.5409259	0.1988918	0.979753
MIMAT0016924	0.4775836	0.4091187	0.1567069	0.7059207	0.2731962	0.3961605	0.7864871	0.2847968	0.5932282	0.1346864	0.3948804	0.5317619
MIMAT0016925	0.2694503	0.3766689	0.6836464	0.4190988	0.451869	0.3998431	-0.002355903	0.1318519	0.2320356	0.6323785	0.4298219	0.3060123
MIMAT0027032	0.02590215	0.8759122	0.6091777	0.8884791	1.506593	0.5413221	0.6067745	0.5925896	0.5470079	0.6097854	1.244954	0.8096225
MIMAT0016926	0.4082629	0.5849316	0.4552771	0.6761394	0.2131767	0.1665857	0.2136674	0.3748537	0.5482727	0.3806363	0.03956091	0.4926391
MIMAT0017981	1.001596	0.5049183	0.3587828	0.6982328	0.6692216	0.4544774	0.4769963	0.2074575	0.2532111	0.5065156	0.4065316	0.2580132
MIMAT0017982	0.3045431	0.3548177	0.1951427	1.485296	1.020412	0.4137931	0.9083118	0.6065397	0.2815115	0.3300385	0.3414033	0.3228292
